"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.7","192.168.1.5","TCP","176","60876  >  8009 [PSH, ACK] Seq=1 Ack=1 Win=501 Len=110 TSval=3801150390 TSecr=568149 [TCP segment of a reassembled PDU]"
"2","0.004834","192.168.1.5","192.168.1.7","TCP","176","8009  >  60876 [PSH, ACK] Seq=1 Ack=111 Win=1425 Len=110 TSval=568650 TSecr=3801150390 [TCP segment of a reassembled PDU]"
"3","0.004862","192.168.1.7","192.168.1.5","TCP","66","60876  >  8009 [ACK] Seq=111 Ack=111 Win=501 Len=0 TSval=3801150395 TSecr=568650"
"4","4.702668","192.168.1.2","224.0.0.251","MDNS","136","Standard query 0x0001 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QU"" question PTR _googlecast._tcp.local, ""QU"" question"
"5","4.702703","192.168.1.2","224.0.0.251","MDNS","136","Standard query 0x0001 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QU"" question PTR _googlecast._tcp.local, ""QU"" question"
"6","5.005480","192.168.1.7","192.168.1.5","TCP","176","60876  >  8009 [PSH, ACK] Seq=111 Ack=111 Win=501 Len=110 TSval=3801155396 TSecr=568650 [TCP segment of a reassembled PDU]"
"7","5.013927","192.168.1.5","192.168.1.7","TCP","176","8009  >  60876 [PSH, ACK] Seq=111 Ack=221 Win=1425 Len=110 TSval=569151 TSecr=3801155396 [TCP segment of a reassembled PDU]"
"8","5.013946","192.168.1.7","192.168.1.5","TCP","66","60876  >  8009 [ACK] Seq=221 Ack=221 Win=501 Len=0 TSval=3801155404 TSecr=569151"
"9","5.727042","192.168.1.2","224.0.0.251","MDNS","136","Standard query 0x0002 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"10","5.727090","192.168.1.5","224.0.0.251","MDNS","456","Standard query response 0x0000 PTR UnionTV-7990a23fb007d577b5112dbed190e2c8._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 7990a23f-b007-d577-b511-2dbed190e2c8.local A, cache flush 192.168.1.5"
"11","5.727101","192.168.1.5","224.0.0.251","MDNS","408","Standard query response 0x0000 PTR UnionTV-7990a23fb007d577b5112dbed190e2c8._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 7990a23f-b007-d577-b511-2dbed190e2c8.local A, cache flush 192.168.1.5"
"12","6.054086","192.168.1.7","216.239.32.116","UDP","108","32845  >  443 Len=66"
"13","6.853280","192.168.1.2","224.0.0.251","MDNS","136","Standard query 0x0003 PTR _%9E5E7C8F47989526C9BCD95D24084F6F0B27C5ED._sub._googlecast._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question"
"14","6.853322","192.168.1.5","224.0.0.251","MDNS","456","Standard query response 0x0000 PTR UnionTV-7990a23fb007d577b5112dbed190e2c8._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 7990a23f-b007-d577-b511-2dbed190e2c8.local A, cache flush 192.168.1.5"
"15","6.853333","192.168.1.5","224.0.0.251","MDNS","408","Standard query response 0x0000 PTR UnionTV-7990a23fb007d577b5112dbed190e2c8._googlecast._tcp.local TXT, cache flush SRV, cache flush 0 0 8009 7990a23f-b007-d577-b511-2dbed190e2c8.local A, cache flush 192.168.1.5"
"16","10.014888","192.168.1.7","192.168.1.5","TCP","176","60876  >  8009 [PSH, ACK] Seq=221 Ack=221 Win=501 Len=110 TSval=3801160405 TSecr=569151 [TCP segment of a reassembled PDU]"
"17","10.021353","HuiZhouG_1c:cc:48","IntelCor_7a:04:86","ARP","42","Who has 192.168.1.7? Tell 192.168.1.5"
"18","10.021362","IntelCor_7a:04:86","HuiZhouG_1c:cc:48","ARP","42","192.168.1.7 is at 64:32:a8:7a:04:86"
"19","10.231621","192.168.1.5","192.168.1.7","TCP","176","8009  >  60876 [PSH, ACK] Seq=221 Ack=331 Win=1425 Len=110 TSval=569663 TSecr=3801160405 [TCP segment of a reassembled PDU]"
"20","10.231650","192.168.1.7","192.168.1.5","TCP","66","60876  >  8009 [ACK] Seq=331 Ack=331 Win=501 Len=0 TSval=3801160622 TSecr=569663"
"21","11.027548","192.168.1.7","34.247.232.119","TLSv1.2","97","Encrypted Alert"
"22","14.637164","192.168.1.5","224.0.0.251","MDNS","247","Standard query response 0x0000 PTR 3717effb6196dba0._spotify-connect._tcp.local PTR _spotify-connect._tcp.local SRV 0 0 35313 3717effb6196dba0.local TXT A 192.168.1.5"
